tupi,portugues_pred
"mosangape ereîpuru ture'ymagûama ri?","Em casa, você usa o seu riso de leite?"
"onhembo'e tupã nhe'enga o emierobîarama resé","ensinou a Deus a não reclamar ou a não reclamar"
"og ugûy-tekatu i mo'ẽ-uká","O poder de sangue é o que ele tem"
"okara koty","acendeu o quarto"
"asé angaîpaba rembyrûera","Eu não vou fazer nada"
"abá-tepe erimba'e, pe mba'erama resé apŷaba me'enga'ubi?","Mas, quando você diz, o que é que você acha que é um pouco mais do que um pouco mais?"
"aînupã apyri'ĩ","Eu estava no meio"
"ygasápe kaûĩ-tuîa a'e ré îamomotá, oîoîá gûaîbĩ rekuîa","No rio de janeiro, o nome de cavalo-de-cavalo foi dado a um homem, que não tinha nenhum reino"
"au'i-mogûab","aui-mogûab"
"ybyrá-pokanga","Marinha-pombanga"
"nebe oronheangerur oré poasemamo","nebe nosonheangerur nos porém"
"peporeaûsu korine","o corinho"
"ikó ybytygûaîa îasegûaba pupé","Dormir com um pequeno bebé"
"abámo mba'e-katu 'uagûera n'oîkuabi xûé?","Mas o que é que pode ser 'agua não se acumular'?"
"xe ky'a-te turusu","xe de olhos-te turusu"
"asetun","acessão"
"aûnhenhẽ sasẽ-sasemamo","Eu vou para o caçaro-saemão"
"o angaîpaba moasŷabo, seroîasegûabo","O malhapaba é um malhapa, sereroasegurado"
"xe apyri tuî - ele mora a meu lado o îoapyri oré roka ruî","Xe apyri velho - ele dorme a meu lado ou se ajoelha ao nosso lado"
"opabĩ kunhã sosé nde momba'etébo é","Todas as manhãs sosse você vai ficar feliz"
"gûimanõmo","onde nós vivemos"
"erenhemombe'upe nde memby-kuî îanondé?","Você já contou o seu filho antes dele?"
"arekomarã","para a minha"
"itaîu-po'yra","Filho-filha"
"o sorambûera resé sekotebẽû","a nossa vida é uma espécie de escuridão"
"oîmbourype erimba'e mba'e-katu amõ ybaka suí o boîaetá supé?","O que é que você quer saber sobre o que é que eu posso fazer com o ybaka suí ou um boia pouco supé?"
"xe, anhangusu-mixyra, gûaîxará seryba'e, kûepe i moerapûanymbyra","xe, anhangusu-mixyra, gêndara serissae, gêndara serishanymbra"
"xe ker-aparar","xe ker-aparar"
"o membyraragûera kûab'iré, santa maria o membyra îesus rerasóû tupãokype","no dia da morte, santa maria ou filho de Jesus"
"abá-abápe asé resé tupã mongetasaramo sekóû?","Que tal dizer que Deus não nos deu um salto?"
"o ekopoxy resé, opabĩ abá mondyki","ou ekopoxy resé, todos abá mondyki"
"iîá îaby ahẽ mã!","Eu vou ficar quieto!"
"ererekomemûãpe nde rapixara mba'e?","em que se encontram os seus buscadores?"
"xe irũ a'e ã","é um amigo meu"
"emonã tekoarûera îaîpe'a","aceitar a liberdade de expressão"
"irõ, xe îar, abebé","irão, xe îar, abebé"
"sakûãîba'e","saúde"
"aîkobé n'ixé sarõana","eu tenho que ser saronã"
"agûasem","Agradeço"
"oîaobok serã ybŷa katupe nhẽ i moingóbo?","Será que há algum trabalho para ser bem feito?"
"mba'easybora o mara'ara kakareme t'osenõîukar abaré, îandykaraíba nongara","Mas, como se não fosse o caso, a situação não foi boa."
"mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî'e'ymebéne","Se você não se sente bem, você pode sorrir"
"iîá omanõmo","Muitos morreram"
"erenhemoatyrõpe eîegûaka nde poropotaramo?","Você está pronto para ficar em pé quando você se vê?"
"a'u temõ mba'eaíba mã a'emo nhẽ xe re'õû","Eu comei o que eu queria"
"a'epe muru'apora membyrasy kakara, na nheangûaba bé ruã?","Eu disse que a minha mãe estava com problemas de saúde, não estava bem?"
"nd'e'ikatuîpe abá o mũeté resé omendá?","Não pode ser que alguém se case?"
"tupã remimotara rupi","por causa do remoto de Deus"
"ereîmorype i nhe'enga mba'e-katu resé nde pûaîme?","Você está com medo de saber o que você está dizendo na sua cabeça?"
"xe rybykasy","xe peixigada"
"xe aparĩ","que parecem"
"xe py-syryk","xe-pyrryk"
"aîopûaî amõ abá pindoba resé","Eu estou no meio de uma rede de pindoba"
"nd'e'i ymûanĩ ahẽ i îukábo","Não disse que eu fosse embora"
"nde pó gûyrype oroîkó, nde resé oroîekoka","Se você estiver em sua mão, sua boca vai ficar em sua boca"
"andyrá ruãpe é?","Ele vai para o chão?"
"osó-osok","sai-se-se-se-se-se"
"moroún oîkóbo","morão"
"xe gûyri bé","xe gûri bé"
"i porang kó tupãoka, îegûakabetá rerupa!","Que Deus, que Deus seja misericordioso!"
"îori, anhanga mondyîa, oré moaûîé suí!","É um bom dia, meu amigo, é um bom dia!"
"xe eúme","que você venha"
"ybytu nde rasapápe","a neve no seu rosto"
"i kunusãî abá supé onhe'enga","a sua prima abá supé foi aveludada"
"amotare'ymbara","eu assumi"
"aîpyapasá-mondeb","aipyapasá-mondeb"
"itá kasara","caçara da rocha"
"tatá-endy-etá, asé apekũ abŷare'yma anhõ osepîak","fogo-luz, a minha cabeça está a correr"
"i îukapyrûere'yma","a sua cabeça é muito alta"
"o îoasykûera ri îasûaramo i îogûerekóû","O que é que ele faz quando ele está com a cabeça"
"kybõ-ngoty bé","quibão-cômbulo"
"a-putu'uma","a-putuuma"
"ereîaîubãpe kunhã amõ?","Você tem um pouco de luz no dia seguinte?"
"tá-tyba","cidade-túria"
"s pedro itangapema osekyî i nambi mondoka","S pedro povoada se arrependeu de roubo"
"aîpĩ-pin","eu tenho um pin-pin"
"miapé îyba","minha mãe"
"t'oroîkó nde ypype nhẽ, oré sumarã mondyîa","Vamos dar-lhe o primeiro, vamos sumaram-lhe o segundo"
"nde arũaípe nde rapixara 'arybo eîupa?","em seu livro você está rapixara 'ário é você?"
"eîori xe moîegûaka","eori xeíegûdak"
"a'epe i moîypa, i gûabo","Eu disse-lhe se ele estava morto, se ele estava morto"
"xe robyr","xe robyr"
"îamanõ îepémo serã sepîakagûera abá supé mombe'u e'ymebémo","Se você não é um homem, não é um homem, mas é um homem."
"erema'ẽ-nhemomotarype amõ rapopé reséno?","Você viu o nosso hemomotriz onde vamos fazer o resênio?"
"a'epe cristãos tupã nhe'enga abŷara, marã?","Eu digo que os cristãos não são de Deus, pois não?"
"xe apỹî","com o meu"
"onheangerekóbo o angaîpagûera resé","Ele tem a certeza de que não vai pagar"
"xe apu'a","que eu vou"
"kunhã'yba xe raûsu","raúso da pesca xe"
"t'oropyk","a sua cor"
"tupã boîáramo nhõ oîkó-potá","Deus não quer que haja"
"omanõ îepémo oîemongaraíb'e'ymebé re'a","Morreu em um acidente de avião"
"oîmoasype a'e riré a'e 'ybá 'uagûera?","Que tristeza é que eu diga 'beba' ou 'beba'?"
"oré raûsubá îepé","nós somos muito mais"
"tó! aîpó n'i papasabi, kûarasymo oîké îepémo!","Não tenho papasabi, é muito bom que haja!"
"seîmbaba rekobîáramo amõ aîme'eng i xupé","Se todos se juntarem, eu vou dar um pouco de dinheiro"
"mamõpe tupã rekóû?","a mãe do deus?"
"reîamo ereîkó tenhẽ, setá tenhẽ nde boîá, xe-te t'oroporaká","Se você quiser ir, dê a sua boopa, que seja bom"
"araíba","araíba"
"tupã resápe ã xe rekóû","A vida do xe aos olhos de Deus"
"oîkuapá-me'eng umûãpe îudas îandé îara îudeus supé erimba'e?","Será que há algum tipo de trabalho em sua cabeça que possa ser feito por um judeu?"
"mamõpe ybŷá îandé îara rerobasemi ko'yté?","A mãe está perto de mim e não é tarde para irmos trabalhar?"
"n'oîeruré-pytubari tupã supé ogûenosemarûera resé","Não se pode pedir-se para que Deus supere o nosso ser"
"îukyruru","a sua queda"
"xe n'aîu-potari biã, karaíba moabaîtébo","xe n'aïu-potari biã, caraíba moabaitebo"
"n'a'ekatuî","não se apaixonem"
"xe pykûab","xe pykûab"
"mba'epe asé moesãîndaba a'ereme?","Em que é que eu deveria estar?"
"n'aker-angáî sekasápe","em uma árvore de folhas"
"i pyrybé perobîá","em seu primeiro percorrido"
"xe só îarameté","é apenas amar"
"tobá kuruba","tobá kuruba"
"asatapyĩ'ok","eu choro"
"ambyasybora poîa","eu me tornei um pouco mais"
"akûeîme, i apyrasapa, xe nde moingosaba é","em cabeça, em cabeça, em cabeça, em cabeça, em cabeça"
"îarekó é rakó mba'e-katu i poxyba'e suí i mouruébo","Tenho que fazer o que posso para a minha vida"
"marãmo ahẽ rekóû o mba'e-katuramo xe suí?","Como é que eu vou para o mundo ou para o mundo do xe-katur suí?"
"kunhãmuku rygépe pitangamo onhemonhanga","No dia seguinte, a polícia prendeu um homem"
"o puru'a îuká potá mosanga o'uba'e","limpa o seu bolo de molho"
"abaîuru-apẽ","Baixo-a-baixa"
"t'oú îandé pytybõmo xe rybyra","O que é que se passa com o irmão de um cão"
"emonãnamo serã tupã îandé rubypy arukangûera nhẽ monhangi semirekó retéramo?","Será que Deus vai dar a luz ao seu povo quando ele for o filho do monge?"
"eremombûeîrá mara'abora","você vai aumentar a mara'abora"
"paresaramo aîkó","Se nos lembrássemos"
"ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?","Você sabe que eu sou o seu amigo quando você começa a comer seu 'arbo moropotara suí?"
"abá sosé pabẽ i momorangi","abá sosé pabê i momorangi"
"xe ru'um","xe ru'um"
"peîori, xe irũ-etá","vocês são amigos"
"aûîé ipó xe rapixara mba'e-katuramo","A primeira vez que o xe rapixara foi no dia-a-dia"
"erasó esapy'a","erasó esapá"
"ygara rokytá","A porta do barro"
"aîatyb","eu tenho"
"kó yby'apapesûara","A água do mar"
"xe îetu'u ra'yrûera anhemonhang i pupé","É difícil que o filhote tenha um filhote"
"na xe reroŷrõî îepé","não se esqueça"
"mytamytá-ypy","mistério"
"aîmombe'uaíb","eu te contar"
"t'oú, nde îeruresápe, tupã oré moorypa","O que é que você tem de fazer?"
"inĩ-ytá","uma casa"
"sugûy mombukapa, îaînupã-nupã","de longe, de longe, de longe"
"tekopûera t'aîpe'a t'aîkó umẽne marani","a vida será dividida em marani"
"kó 'ara marãtekoabe'yma","'A noite de Natal'"
"yby abé a'ereme onhemonguébo, oryryîane","Água abelha que se despeja, se despeja"
"y-pûã","Água-púa"
"amõ karaíba mosakara","caraíba mosakara"
"ara kó tekó aûîesaba cristãos rorybe'ymamo","No dia em que a gente se torna cristãs"
"aporomoebykatã","Aponomoação"
"xe rapi'agûasu","xe de outras"
"omonhe'enguká temõ tupã te'õmbûera!","que envenenou todos os deuses!"
"gûeté-marane'yma","Gútet-maraneí"
"nandé rakó asé îeupiri ybakypene, o posyîusu reîtyk'iré","Não se pode ir para cima do mar, ou para baixo do mar"
"tatobapyygûara","povoado"
"mba'e-poxy koty onhe'engaíbamo","Quartos de coisas-poxy se enfeitiçam"
"mokyrana'yra","filho de duas filhas"
"morobaîaramo aîkó","Quando eu estava morando"
"-eresekyîpe îuraragûaîa abá supé i motĩbyka?","- lembrou-se que ele tinha um pouco de sucesso?"
"oîeí bé muru kaî","há muito cachorro"
"sasy-eté ahẽ osóbo - é doloroso ir-se fulano sasy-eté ahẽ oure'yma ixé o enõîndápe","É doloroso ir-se fulano é doente ir-se ir-se curto ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-se ir-"
"ereîkópe kunhã resé abá remiandubamo?","Será que amanhã você vai se preocupar?"
"ereîpytybõpe abá mondá resé?","Em que lugar você vai roubar?"
"aîmondó-momo","eu sou o mundo"
"rerityba, xe retama, tabangaturãngatu","carros, relâmpagos, aviões"
"nde rera","seu fogo"
"nd'e'i te'e abá tekokatu potasara og o'opore'yma, i moîekuakupa","Não se sabe se a situação de potasara vai melhorar, mas se há pessoas que não estão em condições de melhorar"
"o mba'e, nipó, asé o py'a pupé saûsubi","o que, o neto, o meu filho ou o meu filho"
"aroten","eu faço"
"kó tabyîara ndaeté i poraûsubari","Esta tabela não é muito boa para os fãs"
"asapy tatapynha","a minha mãe"
"mba'e-takó?","que tipo de coisa?"
"a'epe marã asé rekóû o îeaûsuba îabé-katu o apixara raûsupa?","Eu disse que a vida de um homem é muito mais difícil do que a vida de um homem."
"aîepîar","Eu estou gritando"
"abá resé nhoamotare'yma rerekouká abá supé","Abá você não quer que seja o seu sucesso"
"sekoaba nhẽpe?","Em uma folha de chocolate?"
"xe poronupã îaby","xe poronupã ibaby"
"aî'a-kok","eu tenho-me-cocado"
"ybytyra monte calvário 'îápe","montanha no monte calvário"
"nd' eré mõ tenhẽ umẽ abá resé","Não se preocupe com o que você está fazendo"
"o'a îandébo kori","a orelha de corí"
"oporoîrarõ mbá","quando ele se deslocar"
"a'e xe rekotebẽsaba oîme'eng ixébene","a taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa de taxa"
"yby kûara","A água do mar"
"abá ra'angaba","imagem de abá"
"arybo","ano"
"aîepotar","eu estou em cima"
"sebira aîpetek","sebira eu tenho"
"t'arasó pá xe ratápe","se esbarrou no rosto do xe"
"aîorab","eu estava com medo"
"kûé-kûeîpe é","É em pedaços"
"t'oroîtyk oré poxy, paîé rerobîare'yma, moraseîa, mbyryryma","Toroityk é muito bonito, muito bonito, muito branco, muito longe"
"xe mokõ kori, îandune","Xe dois kori, îandune"
"xe-te xe mboú kori pe moanhana, pe mondóbo ikó setama suí","xe-te xe-tu kori o moanhana, o robô vai dormir setama suí"
"arasó-rasó-a'ub","aranha-rasão-a'ub"
"xe karu","é carro"
"îori sekyîa taûîé i py suí","É um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que um pouco mais do que"
"aîmoîekûer","Eu vou ficar"
"penheŷnhang pabẽ sesé!","Não se esqueçam do seu lado!"
"a'é muruangaba","sou um muranguba"
"xe nhe'ẽ-mby'i","xe nao-mby"
"i nhe'engasy n'opabi","Não tenho saudades de comer"
"xe rygynõ","em uma região"
"kunhã resé nde posaûsub'iré ereîmborype sesé nde posaûsubagûera?","Será que amanhã você vai se sentir mais feliz quando você estiver no seu lugar?"
"aîpo'o","Eu estou com medo"
"abur","abur"
"marã e'ipe kunhã okena rerekoara s pedro supé?","Será que você vai abrir a porta da porta para ver o Pedro Supé?"
"nde resé memẽ oroîkó","se você tiver um rosto cheio de dor"
"nha'uma suí i monhangymbyra","minha irmã"
"asobaún","Eu me desvaneci"
"ereroker-etápe îoamotare'yma?","O que é que você acha de um pesquisador?"
"xe resagûyryb","xe resagüyryb"
"kapi'i sosé kó tuî","a cabeça está quieta"
"îagûara'yra","seu filho"
"ikó îope'asagûera","Dormir em sua casa"
"xe tekoaraibor gûitekóbo","sobre o ambiente"
"ybakygûara","O mar"
"mba'e rerosapukaîtara","que nos resuscitará"
"sesé nhẽ aîekotyá","sei que vou ficar"
"eîpy-tybyrok xe roka","eípy-tybyrok xe roca"
"emonã îé abá rekóû raẽ","aceite-o primeiro"
"xe ratá-te ogûé!","É um ratinho!"
"nde nheangûaba bé irumõ-rumõmo","tu não foste o melhor dos irmãos"
"pitangĩ repîaka'upa, aîur xe roka suí","Aí é o dia do meu pai, que me deu um salto."
"tupã oîmonhyrõ o îoupé setá nhẽ seîxutatá tekoangaîpaba repy-mondykápe","Deus é um deus de ouro ou de ouro, seixuta a vida na terra"
"oka'ugûasu pabẽ, apŷaba kunhã ndibé","deslizou-se no chão, sem saber"
"eva onhemomotareté 'ybá-poranga resé iî ykyébo","Eva diz que 'beba-poranga' está em pé"
"nd'osóîpe i boîá amõ sakypûeri?","Não foi para o booba que eu estava em sakypüeri?"
"xe robaké aîpó i 'éû","Xe robake em dia"
"anhemonhang a'eramo - converti-me naquilo anhemonhang gûyráramo","anhemonhang se eu ver - me converter naquilo anhemonhang se eu ver"
"tupã osaûsupe'a, sesé oîerobîá-bebuîa","Deus está com a cabeça aberta, seis estão com a cabeça fechada"
"kûarasy abiã oporomo'y'useî-eté, memetaé tatápe oína abá o'useî-etéramo","A dor de abá é muito forte, mas o fogo é muito forte"
"ereîoîaîpe abá amõ?","Você tem algum amigo?"
"mo'yrobyeté sepîakypyre'yma","de um pequeno-almoço"
"îasepîak îepi i pypora","Ele é um grande fã da música"
"xe rugûy-syryk","xe rugúy-syryk"
"a'epe xe soagûama","Eu disse que o xe já estava pronto"
"u'ubae'ẽ kambykaba","a chuva de camareiras"
"aîma'e'ĩ","Eu já disse"
"n'asendube'ym-a'ubi - fiz que não o ouvi n'asepîake'ym-a'ubi","n'asendube'ym-a'ubi - fiz que não ouviu o n'asendube'ym-a'ubi"
"our ko'emytanga","nossa história"
"memẽ nhẽ moxy îandébo marã e'i-memûã-memûã","Muitas pessoas estão com problemas de saúde"
"esendu","ouçam"
"aîpi 'y","Eu sou um homem"
"t'eresó rõ nde ratápe, aûîerama t'ereîub moreaûsuba monhangápe","chorar em tua cabeça, já tinha chorar em tua boca"
"xe îuru-îaî","de um lado para o outro"
"i pitangĩ mokambûabo","o pequeno-almoço"
"aybysosok","Conheço"
"osobasápe asé o emi'urama?","Onde é que você vai?"
"na xe reroŷrõî sygûaraîybora","na xe não tiveram saúde"
"îaîmomboreaûsu ro'y","queimoreaûûsu frio"
"anhagûã-nhagûãî","Aí é o dia do dia"
"oîkó kûepe mba'e resé nde ma'enduara enhemongetábo ekupa?","Será que há alguma coisa que você possa dizer sobre o seu coletâneo de armazenamento?"
"aîkoé","Eu sou"
"n'oîkotebẽî amõba'e","Não vou ter que me desviar"
"ixé n'aîeîyî i xuí","Ié noí eí"
"oîrarõ, oîmoanhã satápe","se estiverem, estarão no céu"
"anheté a'é","Eu sou muito velho"
"turusu bé'ĩ","turos e"
"miîukae'yma","meninas"
"nd'e'ikatu béî aîpó i pe'apyra'uba missa renduba resé","Não posso dizer que não vou ter a missas de luz"
"n'aîkóî sesé ko'yté","Não haverá seis por dia"
"ta xe pysyrõ marãtekó suí","Ta xe passear na balança suíça"
"xe rakûanhaíb","xe rakûanhabib"
"yby rupi bépe sugûy syryki?","Por causa do mar, o bebê se curta?"
"esokendabok nde roka","esconde-se o seu rosto"
"mba'e abépe asé 'anga remi'u?","Em que lugar vou 'refeicionar' a imagem?"
"xe mendûera ipó re'ĩ","xe mendúera com o seu peito"
"aîpó turi","eu tenho turí"
"t'arasó pá xe ratápe sembiaûsuba resebé","O que é que se passa com o carro?"
"oobapybo aîub","abasteceu-se de um"
"esepîak xe mara'ara t'eresaûsubar xe 'anga","Espeipak xe mara'ara teresisaûsubar xe 'anga"
"oré apûanã","nós somos um grupo"
"ybyramo i moingó-ukare'yma","Na praia de sua entrada-quareira"
"koromõ, keygûara temiminõ moaûîébo, asapekóne","coração, se você tiver algum tempo de ir, vou continuar"
"xe remirekoe'õ","esposa do xe"
"naetenhẽ ã tekotebẽ xe 'anga apypyki","não tenho a certeza de que a natureza está em sua sombra"
"tera'ute oú","terrute vem"
"xe aterẽ","por causa da luz"
"ybaka rasapa osó, nde reîá","Ybaka rasapa saiu, você vai"
"xe apebĩ","É um pouco"
"endé, nde îybápe, îesu eresupi i poîa-mirĩ nde kama pupé","Ende, em seu lado, Jesus levantou suas cinco-meias na sua cama"
"i nhe'enga mombegûara","a sua cabeça está longe"
"erekopîasópe domingo koîpó 'areté amõ pupé?","O que é que você vai fazer neste domingo?"
"aîpé-'ok","eu tenho-'ok"
"marãete'ĩpe jesus o enosẽme?","Jesus em nós?"
"xe rura agûerabé","xe rura agüerabé"
"i ara'a îagûara îá, îandé rakypûemboú","É tarde demais, mas não é fácil"
"oú bé senha'ẽpepó t'omoîy xe renondé","veio sem dúvida em frente ao xe"
"itá karamemûã pupé i nongi","Pedra de carameu é um nongi"
"anhopan","em um banho"
"xe tegûam","é um lugar"
"aîpitupuku","eu tenho muito tempo"
