portugues,tupi_pred
"Mas os doentes a comem, bem certamente","i îandé îandé îandé"
"Como meus súditos, todos em minhas mãos tenho-os bem","xe su'ypóba, xe pópe xe apytá"
"O que tem relações sexuais com uma solteira transgride muito a palavra de Deus","tupã-pûeraîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Roupa branca põe na gente","t'arasu-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Tu ou eu","nde îe"
"Por nos amar mais do que nossa mãe ama seus próprios filhinhos","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Sofrerão algo estando ali?","i'angaûe'angape i'angaûe?"
"teu sêmen ejaculado","nde semé îaîku'e"
"Evocando a morte de meu Senhor","xe ruã resé îandé"
"O que se preocupa com Deus","tupã-pypy"
"Alegrando todas as velhas","aîasóbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaî"
"A ele, certamente, beijarei suas faces","i apé, xe moîaîba îe'anga"
"O que se iguala às mulheres","i sy-pyranga"
"fazendo-te viver no meu coração","nde xe korasó-py nde resé"
"Graças a Deus meu pai veio!","tupã-pe xe xe ru iîa!"
"A chuva ficava amanhecendo a cair, enchendo o mar","yby'aîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîba"
"Resisti-lhe","aîe'anga"
"nariz achatado","i'aîaîaîaîa"
"três chefes","mbohapy moakã"
"Que olhe para nós o neném compadecedor","oîaîmo'e'i-pe îandé i îandé"
"Após tocar em seu segundo cônjuge","i sy-pûaîba îe'anga"
"Fi-lo muito mal","aîe'îaîaî"
"Há algum homem na condição de seu substituto?","i apé-pûaîba i moîba'e?"
"No meio do caminho, meninos assaltaram-me","xe rapé-pykûaîba xe moîaîba"
"Finjo que vou","aîe'ypy"
"Amando tua grande beleza","nde porandé-pyré"
"Na cidade chamada Roma","roma-pe"
"Vem para amedrontá-lo","oîe'îaîaîaîaîaî"
"o que é feito morrer","aîe'îaîaîaîaîaîa"
"Esse é meu antigo enforcador","xe xe xe moîaîba"
"E os rapazes que perseguem mulheres, querendo escravas?","aîpe'anga-pe îaîba'e îaîba'e, îaîba'e?"
"Aqui vêm para nos castigar!","aîe'i oîaîmoîa!"
"Mas tu brilhas mais que ele, iluminando-nos todos com tua virtude","nde resé i'angaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Teu poder aquietou este mundo","nde poty-py îe'õîba'e"
"passar rápido, correr","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Os padrinhos junto ao padre ou a outra pessoa não podem casar-se com o que batizaram","tupã-py'aîba'e'i i abá-py'aîba'e'i n'oîîe'ypy'aîba'e'i i îepûeraûûûûûera"
"Deixo-o levar","aîe'îaîaî"
"pelo caminho","tape-pykûa"
"A ponte derrubam, querendo que a canoa passe","yképe oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Por isso Deus transformou a costela de nosso pai primeiro em sua esposa?","tupã i îandé îandé îandé îandé îandé îandé îandé îandé?"
"Felizes estão todos os homens","i potĩba'e opa marã"
"Escaparão futuramente os animais quadrúpedes?","i'angaîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba"
"Haveis de bem recobrar o fôlego no futuro, após vos cansardes","peîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeîpeî"
"Mostra o erro de minhas palavras","xe nhe'ẽ-py xe xe xe xe-y"
"A que cuida da virtude é a mãe de Deus bondosa","tupã-mûasé îandé îandé îandé"
"Para as coisas que costuma sofrer não tendo paciência","mba'e-py'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"debaixo da pedra","ybype"
"Estou desleixando","xe xe apé"
"aquela cidade chamada Jerusalém","i jerusalém-gûera"
"O resto de minhas presas trouxe para a rainha","xe monhẽ-py aîe'õ-peîaîba"
"lavadeira ou lavador de roupas","t'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Dou-lhe os filhos de Pedro","aîmoîmoîa pedro ra'y"
"Para se vingar de seu cão que cria, um homem não o alimenta","oîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîaîuîuîaîuîuîaîuîuîuîuîuîuîuî"
"Cercando os miseráveis para encher nosso fogo","aîe'anga-aîe'anga îaîe'anga îaîe'anga"
"Eu sou enfermiço, doentio","xe îasé, îasé"
"Eu tenho pintas","xe apîa"
"comida dos anjos","a'e-yvy"
"Então matarei alguns","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Deitando às pressas o capim","aîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Que eu lance fora todas as armadilhas","xe aîe'õbaîba îaîba"
"Ah, veio de fato para cá o Ostra Grande!","aî, oîaîba'e oîara!"
"Eis que aqui estou, procurando-te","xe xe xe xe xe xe xe xe nde resé"
"Como que fazendo as pessoas viverem, mas não de verdade","aîe'anga-pe îandé îandé îandé"
"Segundo o rito dos judeus, seu prepúcio cortaram","i îubé-yûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû"
"Detestaste teu próximo, ficando a pôr-lhe nomes também?","nde rapi'a resé, nde réîpe îeîasé?"
"Comunhão a cada Páscoa","opá-pûaîba"
"O maldito não difere de uma arara","i'anga'anga'e n'îîaîaîaîaîara"
"Os cabos são brancos","yby'a-y"
"Este é o meu princípio","kó xe nhe'ẽ"
"Após nossa perdição, Deus fez uma mulher bondosa","ore resé-pe, tupã îandé i marã-pûasé"
"A ele eu beijarei suas faces","i-pe îaîmoîasûa"
"Desencontramo-nos","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Lembrando-se de que Deus os honra muito no céu","tupã i apé-pûaîba'e îandé"
"Pensa em vir para vos espantar","eîe'ypype nde resé"
"pessoa paroleira","mba'e-pyranga"
"Mataram, na verdade, a outra pessoa que não aquele assassino","oîmoîasûaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaî"
"Estejamos em união","asé îaîmoîaî"
"Estou","xe"
"Para nos honrar os índios fazem festa","oîandé îandé îandé îandé îandé"
"Zune como o vento, tremendo por causa de sua bravura","i yby'a-py, i abá-py i moĩ"
"Eu estou fendido","xe xe apé"
"Sou fujão","xe xe moîa"
"Mulher bondosa, uma virgem","ku'araîba, i'anga"
"Que lancemos fora nossa maldade, não acreditando nos pajés","t'oîmoîasé îandé, n'oîasé pe'îasé"
"Eu sou preto","xe xe ra'y"
"Coisa beiçuda!","mba'e'e'i!"
"Querendo fazer passar as flechas","oîaîasé oîaîasé"
"Fiz fogueira","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"meu nome de meninice, meu nome de infância","xe meninice ré, xe mitã'y"
"o ensinamento a nós da palavra de Deus","tupã apó-py'aîa"
"este outro","kó-mû"
"A dança é que é boa, enfeitar-se, pintar-se de preto","i'aîba'e, i'aîba'e, i'aîba'e"
"Vem-me à memória minha vida passada em minha terra","xe remimõ-mõ xe rekó xe retã-pe"
"Como a gente faz à tarde, antes de dormir?","mba'epe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîbaîbaîbaî?"
"E aquelas mulheres não resistem, combatendo-os?","i'angaîba'e-katuîba'e nd'oîe'angaîba'e?"
"Nem por isso eu vou para longe","xe rembi'uîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"De lá do lugar para onde foi fez vir o Espírito Santo","i apé-py îaîpó îaîpó îaîpó îaîpó îaîpó"
"Por isso mesmo, até a terra que a gente pisa detesta os cadáveres daqueles","aîe'ypy, îaîpe îaîmoîa îaîmoîaîba îaîmoîaîba îaîmoîaîba"
"Oprime-nos o coração","îandé i korasûa"
"o que é igual a algo ou a alguém","mba'e-pyranga"
"Mas chorai por vós mesmas","nde resé resé resé"
"Jazo de bruços","yby'a"
"Perdoará hoje, certamente, a mim","aîe'îasó xe-pûaîasó"
"Que nossa alma ele visite, dispersando os vícios dela","îandé îandé îandé îandé, îandé îandé îandé"
"Qual outro é guerreiro senão ele?","aîe'i i gûera'e i îe'i?"
"fazendo os homens ficarem espiando","aîmoîasó-asó"
"Vem para espantar o diabo, para que não me dane","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Não nos queremos bem","naîaîmoîasé"
"Não abrandam sua raiva, não perdoam","n'oîîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Eu sou airoso","xe xe xe yby"
"É verdade isso!","xe'e!"
"Meteste a mão nas partes erógenas de teu próximo?","nde resé resé nde resé resé resé resé resé nde resé resé resé?"
"Não sou eu que vou","xe-îîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"conforme o dia","araîpûa"
"Tiveste relação sexual com pessoa solteira?","nde rekó-pykûaîba'e?"
"É doloroso deixar o vício, a vida má, contudo, depois disso, o homem consola-se muito","i asé-peîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Logo depois de dizerem aquilo para ele, lançou o pagamento por seu senhor no templo","aîe'ypype îe'õpe, îaîmoîa i mongara-pe îaîmoîa"
"Confessam seus pecadilhos somente Os que são muito grandes deixam-nos, escondendo-os do padre","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Meu senhor!","xe moîba!"
"Para o vosso encontro da virtude verdadeira","pe tekó-pype"
"Remo a canoa","kanó-pûa"
"Meu irmão, perdoa tu a mim","xe eré, xe reropé"
"Das cuias ficando a quebrar as pontas, afrontaste os homens","nde ybype îaîmoîaîba, îaîmoîaîba"
"Não comas este fruto que me é reservado","nde'îa'e'y xe-pûaîa"
"Volta em nossa direção teus olhos compadecedores","îandé îandé nde resa resé"
"o que é frito, a fritura","i'aîba"
"Eu sou cristão, eu sou virtuoso","xe kûaraîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Uma notícia chegou-me aos ouvidos","xe renhẽ-py xe xe xe xe xe xe xe xe xe'ẽ"
"Deus fez vir um anjo no sonho de São José para o avisar","tupã oîe'îaîu san josé-pe îanga-pe îe'îaîba"
"o que é raro, poucas vezes visto ou que se não acha a cada passo","i'aîba'e, i'aîba'e'e'i aîba'e'e'i"
"Por que será que ele não vem?","mba'e-pe n'îîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Hás de confessar primeiro tua atração por eles","nde resé nde resé resé îeré"
"Vem para me fazer regozijar, dando tua boa lei","nde remby'aîba xe moîasé, nde remby'aîba îeré"
"Que deteste a vida má","nde rekó-py"
"E os rapazes que perseguem mulheres?","aîe'anga-mûasûara?"
"Não me chames pelo nome diante dele, senão me mata!","nde'îaîpe'aîpe xe ré, xe moîaî!"
"-Quem és tu? -Sarauaia, adversário antigo de franceses","-mõ nde? -sarauaia, frãs-pe'anga"
"Após nascer Deus-Filho de sua mãe, os judeus cortaram seu prepúcio","sy sy sy-pó-pó, îûûaûûûaûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû"
"Seu sangue era muito, escorrendo no chão","i rusu i'aîba, i ype"
"bem cedo, bem de madrugada","i'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Arranquei as penas de sua asa","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Vou à guerra, vou como guerreiro","aîasó-asó, aîasó-asó"
"Por sua vontade é que ele se entregou aos seus adversários, não resistindo?","i rembipotápe îe'epe îe'anga-pe îe'anga-pe, n'e'anga?"
"O fogo te convém verdadeiramente, para que nele te asses","tatá nde resé nde resé, nde resé îé îé"
"Estão queimando, conservando suas vidas","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Eu brilho","xe xe xe resé"
"Ah, quem me dera o tivesse matado!","xe xe moîaîba îe'anga!"
"no meio de, no centro de","i apyté"
"Todos os seus discípulos para tuas mãos fazendo-os passar","nde remimbo'e-pe nde pópe îandé îapó"
"Não honram seu criador","n'oîe'îaîaîaîaîaîaîaîaîaîa"
"Prendi-os um ao pescoço do outro","aîmoîmoîaîmoîaîba"
"Ele nasceu de Maria, a que não foi tocada por homem","marã-pe îeré, n'îîmoîasûûaîba"
"Eu sou todo manchado","xe xe apé"
"desatinado, sem juízo, enlouquecido, maníaco","i'aîasé, i'aîasé, i'aîasé"
"As doenças da alma do homem com ela saram bem","îandé îandé îandé îandé îandé îandé îandé îandé"
"prender tapuias","aîpyrûa"
"tipo de corte de cabelo dos índios","îandé-yûa"
"Guardei todos os jejuns","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"-Por isso nós rezamos aos santos? Por isso","- i'é-pe îandé îandé îandé îandé?"
"Dos mandamentos de Deus eu era transgressor, na verdade","tupã rembi'u-pyrõ xe xe xe moîasá"
"Fazemos passar as flechas dos malditos, diante deles esquivando-nos","îandé îandé îandé îandé, îandé îandé îandé îandé"
"Sofrendo tudo o que é doloroso, que não se mitigará","aîe'ypy'aîba, n'e'îaîasé"
"Esta há de ser minha companheira, com certeza","kó xe moîba'e, xe moîba'e"
"Fiquei falando em favor dele","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Não que alguém se compadecerá deles, não que alguém vá libertá-los","n'îaîba'e îepûeraîasû, n'îaîba'e îepûeraîasû"
"Vou ao caminho das pessoas","aîe'îaîba resé"
"Aqui estou, não me afasto deles","xe xe xeîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Por isso mesmo, o que os agrada em alguma coisa transgride a palavra de Deus","tupã rembi'e-pype oîaîe'anga-pe îandé"
"Sofreste a morte","nde resé resé"
"Ele, de costume, agiria de outra maneira","i apé-pykûaî"
"Detestando-os mais que tudo o que se deve detestar neste mundo","aîe'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'e'angaîba'angaîba'e'angaîba'angaîba'angaîba'angaîba'angaîba'angaîba'angaîba"
"Eu me fico levantando nas pontas dos pés","xe apé xe apé-pykûa"
"Descarrega-a a ele","aîe'îaîaîaî"
"Por isso mesmo eles não se deleitam com as boas coisas","aîe'ypype n'oîe'ypy'aîba'e"
"Tem medo de ti o diabo, odiando-te","nde resé îaty îandé, nde resé"
"Com uma lança espetou seu flanco","i apé-pykûa-pykûa"
"Morro falsamente, isto é, desmaio, desfaleço","xe rekóî, xe rekóî, xe rekóî"
"Ele não é fundo","n'iîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Meus dentes tiritam Xe rembé-tatak - Meu beiço tirita","xe abá xe rembé-tatak - xe abá xe abá"
"Fiz todos os jejuns","aîmoîîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Eu sou moçacara, eu sou forte","xe mo'akara, xe resé"
"o grande chefe Aimbirê","aimbirîba"
"Afasta-te!","nde'îaî!"
"Acreditas nos feitiços do pajé?","ereîmoîapó pe'a-py'a-py'a?"
"O cauim transbordante nas igaçabas, depois disso, os atrai","ybype'a ybype'a, aîe'ypy"
"Cessou a chuva","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Tu foste torpe com alguma irmã de tua esposa ou com sua parente próxima?","nde rembireko sy-pyré îeré nde rembireko yképe îeré nde rembireko?"
"Nosso espião vá primeiro, à frente de nós","îandé îandé, îandé îandé"
"raiz fedorenta, SAPOREMA, doença que ataca as plantas","i'aîba, saporema, yby'a-y'aîba"
"Logo então a cruz ergueram, fincando-a?","aîpe'aîpe oîaîmo'anga, oîaîmo'anga?"
"Eu sou manchado","xe xe apé"
"Estão queimando para sempre como pena de dizerem isso somente em suas bocas","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"água cheia grande, maré alta","y y-y, y-y"
"Escondeste algum pecado teu do padre, envergonhando-te dele?","nde py'aîba îe'anga-pe nde py'aîba îe'anga-pe nde resé?"
"Todos eles voltaram para trás, caindo no chão de costas","opa oîe'i oîe'i, oîe'i-pe"
"Tua alma está muito branca, como roupa lavada","nde resé i îaîasé, i îaîasé"
"Eu tenho baceira","xe xe xe ba'y"
"Foram terríveis contra os malditos as flechas de São Sebastião, com São Lourenço também","s'abébásy'o-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-y'a-"
"Se tu não endureceres teu coração","nde resé nde korasó resé"
"Antigamente estava aflito, praticando meus vícios","aîpe'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"teia de aranha","ara'y"
"Temos algum remédio como meio de nos curarmos?","asé îaîmoîaîabo'i îaîmoîaîabo'i?"
"Que fazem conosco os que nos batizam?","mba'e-pe îandé îandé îandé îandé?"
"areia preta","yby'a"
"Livra-me tu!","nde xe moîasé!"
"Deixai-os estar deitados","peîaîmoîaîba"
"Ele conosco caminharia","i îandé oîaîasé"
"Vai fartando a mim","xe-pûaîaîaîaîaîa"
"Quanto foi o pagamento?","mba'e'e'ipe i apá?"
"minha presa","xe apyrã"
"chumbada do anzol","i'aîba"
"Voltou a viver dos que morreram","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Parei","aîe'îa"
"Que a gente evoca diante dele como sua esperança?","t'e'oîaîba'epe i renhẽ i rembipotá?"
"Por acaso não chegava seu segundo braço ao lugar de irem os pregos?","nd'e'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i"
"Eu estou ricamente vestido de roupas","xe ao-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Vamos, conversemos com os que nos procuram","t'aîe, îaîe'o-e'oîa-e'oîa"
"Mal a gente diz algo, já se irrita","t'e'oîmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Ah, quem me dera o tivesse matado!","xe xe moîaîba îe'anga!"
"Arrebentando as coisas de alguém","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Matais","oîaî"
"Hei de comer hoje seus braços","aîe'oîa îe'õ i apé"
"Está pronto o guaitacá ou o filho do guaianá?","gûitacá îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Os franceses trouxeram pólvora em vão","franse-pe oîaîmoîa-pe"
"Faze perdoar a nós","îandé îandé"
"Apressam-me estes meus súditos","xe-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Ó, hei de ir!","xe xe apé!"
"Veio um grande chefe","oîe'i-pe"
"Ele é gostoso","i i'aî"
"Somente desejando-a, nela tocando também","aîe'ẽ-pe, aîe'ẽ-pe îe'ẽ"
"Eles mandariam enforcá-los?","oîe'îmoîasá oîe'îa?"
"Para Deus nos encorajar contra o diabo","tupã-mûandé îandé îaîmo'anga"
"Ele é muito grosso","i îaîba"
"Todo seu sangue deu","i resé îe'õ"
"Ela está afiada","i îaîaîaîa"
"a descida dele","i apé"
"não querendo espaçar longamente a falta de sua confissão","n'e'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"meu parceiro","xe moîba"
